operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery11|1759819384479|1759819384479|11|0|6527808
LdbcQuery11|1759819384453|1759819384454|39|0|6501904
LdbcQuery11|1759819384505|1759819384505|7|0|6553712
LdbcQuery11|1759819384531|1759819384532|8|0|6579616
LdbcQuery11|1759819384556|1759819384556|7|0|6605520
LdbcQuery11|1759819384608|1759819384610|10|0|6657328
LdbcQuery11|1759819384582|1759819384582|43|0|6631424
LdbcQuery11|1759819384634|1759819384634|8|0|6683232
LdbcQuery11|1759819384660|1759819384660|8|0|6709136
LdbcQuery11|1759819384686|1759819384688|8|0|6735040
LdbcQuery11|1759819384712|1759819384712|9|0|6760944
LdbcQuery11|1759819384764|1759819384764|10|0|6812752
LdbcQuery11|1759819384738|1759819384738|37|0|6786848
LdbcQuery11|1759819384790|1759819384790|9|0|6838656
LdbcQuery11|1759819384815|1759819384816|9|0|6864560
LdbcQuery11|1759819384841|1759819384841|8|0|6890464
LdbcQuery11|1759819384867|1759819384868|39|0|6916368
LdbcQuery11|1759819384893|1759819384894|27|0|6942272
LdbcQuery11|1759819384919|1759819384919|8|0|6968176
LdbcQuery11|1759819384945|1759819384945|8|0|6994080
LdbcQuery11|1759819384971|1759819384971|7|0|7019984
LdbcQuery11|1759819384997|1759819384998|9|0|7045888
LdbcQuery11|1759819385023|1759819385023|8|0|7071792
LdbcQuery11|1759819385049|1759819385050|8|0|7097696
LdbcQuery11|1759819385074|1759819385075|10|0|7123600
LdbcQuery11|1759819385100|1759819385100|8|0|7149504
LdbcQuery11|1759819385126|1759819385127|8|0|7175408
LdbcQuery11|1759819385152|1759819385152|9|0|7201312
LdbcQuery11|1759819385178|1759819385178|29|0|7227216
LdbcQuery11|1759819385204|1759819385204|8|0|7253120
LdbcQuery11|1759819385230|1759819385231|9|0|7279024
LdbcQuery11|1759819385256|1759819385256|10|0|7304928
LdbcQuery11|1759819385282|1759819385283|7|0|7330832
LdbcQuery11|1759819385308|1759819385308|9|0|7356736
LdbcQuery11|1759819385334|1759819385335|8|0|7382640
LdbcQuery11|1759819385359|1759819385359|8|0|7408544
LdbcQuery11|1759819385385|1759819385386|9|0|7434448
LdbcQuery11|1759819385411|1759819385412|7|0|7460352
LdbcQuery11|1759819385437|1759819385437|8|0|7486256
LdbcQuery11|1759819385463|1759819385463|13|0|7512160
LdbcQuery11|1759819385489|1759819385489|7|0|7538064
LdbcQuery11|1759819385515|1759819385515|7|0|7563968
LdbcQuery11|1759819385541|1759819385542|8|0|7589872
LdbcQuery11|1759819385567|1759819385567|9|0|7615776
LdbcQuery11|1759819385593|1759819385593|9|0|7641680
LdbcQuery11|1759819385618|1759819385619|8|0|7667584
LdbcQuery11|1759819385644|1759819385646|8|0|7693488
LdbcQuery11|1759819385670|1759819385670|8|0|7719392
LdbcQuery11|1759819385696|1759819385696|8|0|7745296
LdbcQuery11|1759819385722|1759819385722|7|0|7771200
LdbcQuery11|1759819385748|1759819385748|9|0|7797104
LdbcQuery11|1759819385774|1759819385775|8|0|7823008
