operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery11|1759819581889|1759819581889|4|0|6864560
LdbcQuery11|1759819581915|1759819581915|9|0|6890464
LdbcQuery11|1759819581941|1759819581941|6|0|6916368
LdbcQuery11|1759819581967|1759819581967|5|0|6942272
LdbcQuery11|1759819581993|1759819581994|5|0|6968176
LdbcQuery11|1759819582019|1759819582019|6|0|6994080
LdbcQuery11|1759819582045|1759819582046|6|0|7019984
LdbcQuery11|1759819582071|1759819582071|8|0|7045888
LdbcQuery11|1759819582097|1759819582097|7|0|7071792
LdbcQuery11|1759819582123|1759819582123|6|0|7097696
LdbcQuery11|1759819582148|1759819582148|4|0|7123600
LdbcQuery11|1759819582174|1759819582174|8|0|7149504
LdbcQuery11|1759819582200|1759819582200|6|0|7175408
LdbcQuery11|1759819582226|1759819582227|6|0|7201312
LdbcQuery11|1759819582252|1759819582252|6|0|7227216
LdbcQuery11|1759819582278|1759819582278|6|0|7253120
LdbcQuery11|1759819582304|1759819582305|5|0|7279024
LdbcQuery11|1759819582330|1759819582330|5|0|7304928
LdbcQuery11|1759819582356|1759819582356|6|0|7330832
LdbcQuery11|1759819582382|1759819582383|7|0|7356736
LdbcQuery11|1759819582408|1759819582409|5|0|7382640
LdbcQuery11|1759819582433|1759819582433|5|0|7408544
LdbcQuery11|1759819582459|1759819582460|9|0|7434448
LdbcQuery11|1759819582485|1759819582485|4|0|7460352
LdbcQuery11|1759819582511|1759819582512|8|0|7486256
LdbcQuery11|1759819582537|1759819582538|6|0|7512160
LdbcQuery11|1759819582563|1759819582564|5|0|7538064
LdbcQuery11|1759819582589|1759819582590|7|0|7563968
LdbcQuery11|1759819582615|1759819582616|5|0|7589872
LdbcQuery11|1759819582641|1759819582642|5|0|7615776
LdbcQuery11|1759819582667|1759819582667|7|0|7641680
LdbcQuery11|1759819582692|1759819582693|6|0|7667584
LdbcQuery11|1759819582718|1759819582719|6|0|7693488
LdbcQuery11|1759819582744|1759819582744|5|0|7719392
LdbcQuery11|1759819582770|1759819582770|6|0|7745296
LdbcQuery11|1759819582796|1759819582797|5|0|7771200
LdbcQuery11|1759819582822|1759819582823|8|0|7797104
LdbcQuery11|1759819582848|1759819582849|6|0|7823008
LdbcQuery11|1759819582874|1759819582875|6|0|7848912
LdbcQuery11|1759819582900|1759819582901|5|0|7874816
LdbcQuery11|1759819582926|1759819582926|9|0|7900720
LdbcQuery11|1759819582952|1759819582952|5|0|7926624
LdbcQuery11|1759819582977|1759819582978|5|0|7952528
LdbcQuery11|1759819583003|1759819583005|6|0|7978432
LdbcQuery11|1759819583029|1759819583030|5|0|8004336
LdbcQuery11|1759819583055|1759819583055|9|0|8030240
LdbcQuery11|1759819583081|1759819583081|8|0|8056144
LdbcQuery11|1759819583107|1759819583108|4|0|8082048
LdbcQuery11|1759819583133|1759819583133|8|0|8107952
LdbcQuery11|1759819583159|1759819583159|7|0|8133856
LdbcQuery11|1759819583185|1759819583186|8|0|8159760
LdbcQuery11|1759819583211|1759819583212|6|0|8185664
LdbcQuery11|1759819583236|1759819583236|5|0|8211568
LdbcQuery11|1759819583262|1759819583262|7|0|8237472
LdbcQuery11|1759819583288|1759819583288|6|0|8263376
LdbcQuery11|1759819583314|1759819583315|8|0|8289280
LdbcQuery11|1759819583340|1759819583340|6|0|8315184
